rows,query_id,duckdb_ms,mysql_ms,speedup
12580,Q1_50day_MA,3.793,82.875,21.85
12580,Q2_daily_volatility,1.242,5.255,4.23
12580,Q3_annual_summary,2.181,9.018,4.13
12580,Q4_full_scan_narrow,0.623,3.833,6.15
12580,Q5_rolling_stddev,3.679,44.456,12.08
12580,Q6_wide_projection,3.477,27.148,7.81
12580,Q7_point_lookup,0.676,0.809,1.2
12580,Q8_small_range,0.754,1.007,1.34
12580,Q9_single_stock_filter,1.337,9.604,7.18
111745,Q1_50day_MA,9.841,753.585,76.58
111745,Q2_daily_volatility,3.821,35.503,9.29
111745,Q3_annual_summary,6.069,96.267,15.86
111745,Q4_full_scan_narrow,0.945,27.688,29.3
111745,Q5_rolling_stddev,10.533,418.533,39.74
111745,Q6_wide_projection,6.001,62.393,10.4
111745,Q7_point_lookup,1.047,0.801,0.77
111745,Q8_small_range,1.169,0.942,0.81
111745,Q9_single_stock_filter,1.705,13.703,8.04
